epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1271.58,3.47852,5.51104,4.05134,0.00046,0.01707,0.00123,0.00036,3.31882,5.61538,4.05441,6.95198e-05,6.95198e-05,6.95198e-05
44,1301.38,3.43259,5.53248,4.04485,0.00046,0.01853,0.00046,0.00012,3.31352,5.60806,4.04959,6.83417e-05,6.83417e-05,6.83417e-05
45,1330.21,3.465,5.58466,4.04469,0.00047,0.01864,0.00044,0.00012,3.30696,5.60489,4.04584,6.71636e-05,6.71636e-05,6.71636e-05
46,1361.2,3.49056,5.50782,4.03249,0.00041,0.01663,0.00038,0.00013,3.29606,5.60548,4.0426,6.59855e-05,6.59855e-05,6.59855e-05
47,1390.58,3.45904,5.52129,4.03515,0.00035,0.01344,0.0004,0.00015,3.29789,5.59771,4.03668,6.48074e-05,6.48074e-05,6.48074e-05
48,1419.47,3.41941,5.557,4.05517,0.00034,0.01063,0.00038,0.00016,3.30353,5.59539,4.0307,6.36293e-05,6.36293e-05,6.36293e-05
49,1448.66,3.4769,5.52364,4.0155,0.00049,0.01694,0.00039,0.00013,3.30134,5.59801,4.02301,6.24512e-05,6.24512e-05,6.24512e-05
50,1478.35,3.4439,5.51078,4.01766,0.00055,0.01443,0.00035,0.0001,3.29907,5.59767,4.01677,6.12731e-05,6.12731e-05,6.12731e-05
51,1507.94,3.47669,5.55212,4.0182,0.0004,0.0123,0.00026,0.0001,3.29742,5.60037,4.01193,6.0095e-05,6.0095e-05,6.0095e-05
52,1536.89,3.46681,5.50401,4.01265,0.00048,0.01683,0.00032,0.00011,3.29113,5.59757,4.00709,5.89169e-05,5.89169e-05,5.89169e-05
53,1566.75,3.46348,5.52202,4.02459,0.00043,0.00954,0.00026,7e-05,3.29099,5.5911,4.00276,5.77388e-05,5.77388e-05,5.77388e-05
54,1596.48,3.62944,5.47907,3.98608,0.00039,0.00647,0.00029,0.00013,3.29441,5.58401,3.99646,5.65607e-05,5.65607e-05,5.65607e-05
55,1627.89,3.46829,5.50357,4.0153,0.00041,0.0096,0.00041,0.00014,3.29024,5.58295,3.99406,5.53826e-05,5.53826e-05,5.53826e-05
56,1656.98,3.41228,5.4738,3.98852,0.00048,0.00971,0.00033,0.00013,3.28679,5.58055,3.99396,5.42045e-05,5.42045e-05,5.42045e-05
57,1686.01,3.43265,5.53415,4.00478,0.00056,0.01873,0.00037,0.00011,3.2869,5.58237,3.98842,5.30264e-05,5.30264e-05,5.30264e-05
58,1714.69,3.50764,5.52225,4.0096,0.00072,0.02191,0.00052,0.00012,3.28402,5.57462,3.98613,5.18483e-05,5.18483e-05,5.18483e-05
59,1743.51,3.40458,5.48089,3.99374,0.0004,0.02035,0.00031,9e-05,3.27893,5.57649,3.98345,5.06702e-05,5.06702e-05,5.06702e-05
60,1772.93,3.4679,5.48814,3.97353,0.00078,0.02046,0.00053,0.0001,3.2722,5.57719,3.97947,4.94921e-05,4.94921e-05,4.94921e-05
61,1801.39,3.4729,5.44622,4.00975,0.00065,0.01625,0.00053,0.00011,3.25952,5.56928,3.97971,4.8314e-05,4.8314e-05,4.8314e-05
62,1830.61,3.46177,5.49885,3.97616,0.00064,0.01912,0.00045,0.00017,3.2555,5.56816,3.97675,4.71359e-05,4.71359e-05,4.71359e-05
63,1859.59,3.39688,5.47186,3.9813,9e-05,0.00527,6e-05,1e-05,3.24645,5.56724,3.97586,4.59578e-05,4.59578e-05,4.59578e-05
64,1889.1,3.45829,5.45153,3.97878,0.00011,0.00803,9e-05,1e-05,3.24554,5.56792,3.97142,4.47797e-05,4.47797e-05,4.47797e-05
65,1918,3.4779,5.44771,3.95097,0.00027,0.01724,0.00023,3e-05,3.23744,5.56758,3.96588,4.36016e-05,4.36016e-05,4.36016e-05
66,1947.37,3.49607,5.51023,3.97987,0.00026,0.01476,0.00019,4e-05,3.23356,5.56048,3.96269,4.24235e-05,4.24235e-05,4.24235e-05
67,1975.99,3.48517,5.46968,3.96519,0.00025,0.01459,0.00018,5e-05,3.2345,5.55283,3.95842,4.12454e-05,4.12454e-05,4.12454e-05
68,2005.27,3.46803,5.44341,3.9505,0.00058,0.0154,0.00041,6e-05,3.23387,5.55608,3.95693,4.00673e-05,4.00673e-05,4.00673e-05
69,2033.85,3.37942,5.46816,3.96007,0.00056,0.0159,0.00041,7e-05,3.23321,5.55414,3.9566,3.88892e-05,3.88892e-05,3.88892e-05
70,2063.98,3.43386,5.50397,3.96687,0.00068,0.01768,0.00053,0.00012,3.23395,5.54886,3.9575,3.77111e-05,3.77111e-05,3.77111e-05
71,2094.85,3.3958,5.49683,3.9576,0.00035,0.01686,0.00027,7e-05,3.22953,5.55022,3.95743,3.6533e-05,3.6533e-05,3.6533e-05
72,2124.35,3.39853,5.44608,3.94893,0.00069,0.01995,0.00049,0.00013,3.22708,5.55389,3.956,3.53549e-05,3.53549e-05,3.53549e-05
73,2154.02,3.34063,5.47686,3.97259,0.00027,0.01097,0.00022,7e-05,3.22853,5.55057,3.95327,3.41768e-05,3.41768e-05,3.41768e-05
74,2182.59,3.37932,5.51629,3.95438,0.00025,0.01085,0.00017,5e-05,3.22919,5.55061,3.95267,3.29987e-05,3.29987e-05,3.29987e-05
75,2212.17,3.43482,5.47797,3.93772,0.00057,0.01643,0.00041,0.00013,3.22767,5.54574,3.95193,3.18206e-05,3.18206e-05,3.18206e-05
76,2241.48,3.39013,5.44861,3.93458,0.00065,0.02012,0.00045,0.00012,3.2218,5.54152,3.94894,3.06425e-05,3.06425e-05,3.06425e-05
77,2269.95,3.34948,5.44797,3.94569,0.00071,0.02137,0.0005,0.00013,3.22144,5.5404,3.94947,2.94644e-05,2.94644e-05,2.94644e-05
78,2298.51,3.40499,5.453,3.94232,0.00057,0.01682,0.0004,0.00012,3.22755,5.53999,3.94723,2.82863e-05,2.82863e-05,2.82863e-05
79,2327.75,3.4094,5.44589,3.92874,0.00059,0.01682,0.0004,0.00013,3.22639,5.54116,3.9446,2.71082e-05,2.71082e-05,2.71082e-05
80,2356.92,3.37352,5.45498,3.93826,0.00061,0.01733,0.00051,9e-05,3.22168,5.54267,3.94496,2.59301e-05,2.59301e-05,2.59301e-05
81,2385.7,3.38075,5.40762,3.94051,0.00055,0.01587,0.00042,0.00012,3.22266,5.53812,3.94448,2.4752e-05,2.4752e-05,2.4752e-05
82,2414.83,3.36231,5.40219,3.95794,0.0005,0.01392,0.00041,0.00014,3.22601,5.53573,3.94394,2.35739e-05,2.35739e-05,2.35739e-05
83,2444.87,3.4004,5.39435,3.92425,0.0005,0.01548,0.00035,0.00011,3.22352,5.53054,3.94081,2.23958e-05,2.23958e-05,2.23958e-05
84,2474.87,3.34488,5.44514,3.91542,0.00052,0.01543,0.00045,0.0001,3.22896,5.53755,3.94012,2.12177e-05,2.12177e-05,2.12177e-05
85,2504.92,3.33966,5.43388,3.92887,0.00062,0.0171,0.0007,0.00017,3.22296,5.53741,3.93599,2.00396e-05,2.00396e-05,2.00396e-05
86,2534.28,3.41535,5.40108,3.92813,0.00062,0.01816,0.00125,0.00023,3.22345,5.53651,3.93678,1.88615e-05,1.88615e-05,1.88615e-05
87,2563.43,3.35429,5.40869,3.91717,0.00054,0.01827,0.00099,0.00019,3.2187,5.53455,3.93433,1.76834e-05,1.76834e-05,1.76834e-05
88,2593.11,3.42043,5.4411,3.94359,0.00057,0.01529,0.0005,0.00011,3.22062,5.5293,3.93509,1.65053e-05,1.65053e-05,1.65053e-05
89,2622.78,3.39503,5.46455,3.93004,0.00054,0.01509,0.00042,0.0001,3.22366,5.53523,3.93356,1.53272e-05,1.53272e-05,1.53272e-05
