epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2211.2,3.43317,5.52187,3.98538,0.00047,0.01355,0.00067,0.00014,3.30288,5.61578,3.9539,6.95198e-05,6.95198e-05,6.95198e-05
44,2264.1,3.41087,5.51304,3.97427,0.00105,0.01301,0.00097,0.00038,3.29849,5.61127,3.94722,6.83417e-05,6.83417e-05,6.83417e-05
45,2318.41,3.41315,5.59816,3.96348,0.00117,0.01359,0.00113,0.0003,3.30217,5.61036,3.94566,6.71636e-05,6.71636e-05,6.71636e-05
46,2371.46,3.47275,5.5156,3.95087,0.00128,0.01602,0.00089,0.00024,3.29965,5.59969,3.94293,6.59855e-05,6.59855e-05,6.59855e-05
47,2427.66,3.42092,5.52257,3.94931,0.0008,0.011,0.0005,9e-05,3.2961,5.59116,3.93785,6.48074e-05,6.48074e-05,6.48074e-05
48,2478.36,3.3843,5.54595,3.98432,0.00228,0.01694,0.0015,0.0003,3.29578,5.59343,3.93571,6.36293e-05,6.36293e-05,6.36293e-05
49,2528.06,3.42606,5.51283,3.92408,0.0006,0.00789,0.00053,0.00011,3.29752,5.59435,3.92851,6.24512e-05,6.24512e-05,6.24512e-05
50,2580.68,3.40868,5.5127,3.94047,0.00035,0.00541,0.0002,5e-05,3.29198,5.57973,3.92861,6.12731e-05,6.12731e-05,6.12731e-05
51,2633.71,3.44154,5.53433,3.92311,0.00084,0.00815,0.00049,0.00021,3.28539,5.5777,3.92421,6.0095e-05,6.0095e-05,6.0095e-05
52,2684.63,3.42253,5.49436,3.92324,0.00027,0.0027,0.00016,4e-05,3.28651,5.57714,3.92318,5.89169e-05,5.89169e-05,5.89169e-05
53,2740.15,3.4399,5.53489,3.95047,0.00027,0.00281,0.00016,3e-05,3.28888,5.57677,3.92185,5.77388e-05,5.77388e-05,5.77388e-05
54,2791.9,3.60099,5.457,3.90174,0.00079,0.00985,0.00053,0.00011,3.28461,5.57299,3.91878,5.65607e-05,5.65607e-05,5.65607e-05
55,2841.28,3.43931,5.51281,3.93185,0.00079,0.01147,0.00066,9e-05,3.28497,5.57007,3.91629,5.53826e-05,5.53826e-05,5.53826e-05
56,2891.68,3.38064,5.45746,3.9018,0.00061,0.00949,0.00047,8e-05,3.28961,5.56265,3.90868,5.42045e-05,5.42045e-05,5.42045e-05
57,2943.82,3.43466,5.5061,3.90832,0.00056,0.00921,0.00036,6e-05,3.27442,5.5491,3.89982,5.30264e-05,5.30264e-05,5.30264e-05
58,2997.9,3.48869,5.5193,3.92963,0.00082,0.00947,0.00047,9e-05,3.27226,5.54601,3.88994,5.18483e-05,5.18483e-05,5.18483e-05
59,3045.79,3.39245,5.45726,3.89926,0.00061,0.00908,0.00037,6e-05,3.25973,5.5387,3.88564,5.06702e-05,5.06702e-05,5.06702e-05
60,3094.62,3.42105,5.45619,3.89015,0.00082,0.01262,0.00052,0.00011,3.25845,5.53203,3.87933,4.94921e-05,4.94921e-05,4.94921e-05
61,3143.56,3.44464,5.4431,3.91349,0.00054,0.00779,0.00031,8e-05,3.2586,5.52697,3.87173,4.8314e-05,4.8314e-05,4.8314e-05
62,3195.16,3.42677,5.4636,3.90071,0.00073,0.01452,0.00045,0.0001,3.25322,5.51529,3.86908,4.71359e-05,4.71359e-05,4.71359e-05
63,3250.74,3.37849,5.44995,3.89121,0.00051,0.01391,0.00042,9e-05,3.24784,5.50483,3.87046,4.59578e-05,4.59578e-05,4.59578e-05
64,3305.2,3.43726,5.44148,3.8731,0.00111,0.01894,0.00089,0.00014,3.25477,5.50093,3.86442,4.47797e-05,4.47797e-05,4.47797e-05
65,3361.37,3.47299,5.43674,3.86588,0.00049,0.01386,0.0004,7e-05,3.25712,5.49912,3.85838,4.36016e-05,4.36016e-05,4.36016e-05
66,3418.22,3.47395,5.48813,3.86872,0.00054,0.01571,0.00044,8e-05,3.25755,5.49663,3.85544,4.24235e-05,4.24235e-05,4.24235e-05
67,3473.1,3.43129,5.44551,3.86041,0.00062,0.0211,0.0005,8e-05,3.24399,5.49243,3.84948,4.12454e-05,4.12454e-05,4.12454e-05
68,3528.61,3.41186,5.39925,3.83285,0.00044,0.0131,0.00044,9e-05,3.24303,5.49157,3.84796,4.00673e-05,4.00673e-05,4.00673e-05
69,3583.77,3.36271,5.44249,3.85634,0.00057,0.01564,0.00041,8e-05,3.2411,5.49439,3.84822,3.88892e-05,3.88892e-05,3.88892e-05
70,3639.08,3.42615,5.45956,3.85161,0.00038,0.00984,0.00027,6e-05,3.23898,5.49732,3.84386,3.77111e-05,3.77111e-05,3.77111e-05
71,3693.25,3.3279,5.46168,3.85288,0.00047,0.01202,0.0003,8e-05,3.23039,5.49385,3.8385,3.6533e-05,3.6533e-05,3.6533e-05
72,3742.14,3.37488,5.4293,3.85281,0.00056,0.01517,0.00042,0.00011,3.23465,5.49187,3.83173,3.53549e-05,3.53549e-05,3.53549e-05
73,3794.15,3.31455,5.45755,3.87283,0.00109,0.01895,0.00296,0.00034,3.23433,5.49168,3.83122,3.41768e-05,3.41768e-05,3.41768e-05
74,3844.84,3.35004,5.46532,3.84709,0.00078,0.01694,0.00263,0.0003,3.23079,5.49319,3.83083,3.29987e-05,3.29987e-05,3.29987e-05
75,3900.72,3.43835,5.44914,3.84447,0.00047,0.01349,0.00035,7e-05,3.23347,5.48634,3.83165,3.18206e-05,3.18206e-05,3.18206e-05
76,3957.76,3.33726,5.41162,3.82069,0.00086,0.01835,0.00067,0.00011,3.23604,5.48433,3.83127,3.06425e-05,3.06425e-05,3.06425e-05
77,4013.22,3.31973,5.4181,3.8383,0.00102,0.02014,0.00161,0.0002,3.23559,5.47613,3.82961,2.94644e-05,2.94644e-05,2.94644e-05
78,4066.47,3.33962,5.42249,3.83804,0.00079,0.01796,0.0006,9e-05,3.23245,5.47114,3.82984,2.82863e-05,2.82863e-05,2.82863e-05
79,4124.69,3.35729,5.42756,3.83081,0.00037,0.01045,0.00026,6e-05,3.23424,5.47104,3.82866,2.71082e-05,2.71082e-05,2.71082e-05
80,4179.77,3.34753,5.41368,3.82579,0.00052,0.01422,0.00036,7e-05,3.22987,5.46881,3.82685,2.59301e-05,2.59301e-05,2.59301e-05
81,4232.46,3.3118,5.38945,3.8354,0.00049,0.01207,0.00031,6e-05,3.23036,5.46737,3.82325,2.4752e-05,2.4752e-05,2.4752e-05
82,4280.03,3.33842,5.3651,3.84869,0.00048,0.01498,0.00032,7e-05,3.22365,5.46529,3.82156,2.35739e-05,2.35739e-05,2.35739e-05
